Phylum,Comparison,Z-value,p,p.adj,p.adj.signif
Cloacimonetes,4 vs. 5,-2.2472,0.0246,0.0492,*
Cloacimonetes,4 vs. 6,-2.2472,0.0246,0.0492,*
Unclassified,4 vs. 5,-3.478,5e-4,0.001,**
Unclassified,4 vs. 6,-3.478,5e-4,0.001,**
Euryarchaeota,4 vs. 5,-3.5058,5e-4,0.0014,**
Euryarchaeota,4 vs. 6,-3.1367,0.0017,0.0034,**
Chloroflexi,4 vs. 5,-3.1367,0.0017,0.0034,**
Chloroflexi,4 vs. 6,-3.5058,5e-4,0.0014,**
Planctomycetes,4 vs. 5,-3.1367,0.0017,0.0034,**
Planctomycetes,4 vs. 6,-3.5058,5e-4,0.0014,**
Deinococcus-Thermus,4 vs. 5,-3.004,0.0027,0.0053,**
Deinococcus-Thermus,4 vs. 6,-3.2351,0.0012,0.0036,**
Tenericutes,4 vs. 5,-3.0594,0.0022,0.0067,**
Tenericutes,4 vs. 6,-2.6407,0.0083,0.0165,*
Proteobacteria,4 vs. 5,-2.674,0.0075,0.015,*
Proteobacteria,4 vs. 6,-3.3424,8e-4,0.0025,**
Bacteroidetes,4 vs. 5,-2.8885,0.0039,0.0077,**
Bacteroidetes,4 vs. 6,-3.3506,8e-4,0.0024,**
Actinobacteria,4 vs. 5,-2.8674,0.0041,0.0083,**
Actinobacteria,4 vs. 6,-2.9756,0.0029,0.0083,**
Firmicutes,4 vs. 5,-3.1363,0.0017,0.0051,**
Firmicutes,4 vs. 6,-2.7037,0.0069,0.0137,*
